0 0
8 8
15 15
22 22
26 26
26 26
29 29
33 33
36 36
40 40
43 43
47 47
50 50
54 54
57 57
61 61
64 64
68 68
71 71
75 75
78 78
82 82
85 85
89 89
92 92
96 96
99 99
103 103
106 106
110 110
