"","X-1004","X-1008","X-1298","X-1349","X-1371","X-1383","X-1407","X-1468","X-1600","X-1631","X-1828","X-1832","X-1916","X-1921","X-2127","X-2195","X-2344","X-2353","X-2487","X-2524","X-2640","X-2780","X-3077","X-3078","X-3201","X-3298","X-3450","X-3453","X-3468","X-3697","X-3873","X-4347","X-4567","X-4824","X-4888","X-4949","X-5249","X-5355","X-5502","X-5541","X-5975","X-6047"
"MAP3K1","","","","","","","","","","","","","","","","","","","Del0.8","","","MutNovel","","","","","","","","","","","MutNovel","","","","","","MutNovel","","",""
"MAP4K5","","","","","","","","","","","","","","","","","","","MutNovel","","","","","","","","MutNovel","","","","","","","","","","","","","","",""
"MAPK11","","","","","","","","","","","","","","","","","","","","Del0.8","","","","","","","","","","","","","","","","","","","","","",""
"MAPK12","","","","","","","","","","","","","","","","","","","","Del0.8","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMAP1","","","","","","","","","","","","","","","","","","","","","","","MutNovel","","","","","","","","","","","","","","","","","","",""
"ERMAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP1S","","","","","","","","","","","","","","","","","","","","","","","","","MutNovel","","","","","","","","","","","","","","","","",""
"MAP7D1","","","","","","","","","","","","","","","","","","","","","","","","","","MutNovel","","","","","","","","","","","","","","","",""
"MAPK8IP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amp5","","","","","","","","","","","","",""
"MAP2K7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MutNovel","","","","","","","","","",""
"MAP3K13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amp5","","","","","","","",""
"MAP3K12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Del0.8","","","","","",""
"MAP2K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPK7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLMAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Del0.8"
"MAP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP2K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPRE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP1LC3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPRE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP2K5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP4K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMAP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPKAPK5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP2K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPK10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPK1IP1L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APMAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPKAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP3K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAP1LC3B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
